current_date,next_date,number,freq_7days,freq_prev_day,freq_3days,freq_14days,freq_30days,freq_ratio_7days,freq_ratio_30days,avg_gap,min_gap,max_gap,last_gap,consecutive_count,days_since_last,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_saturday,is_sunday,cham_dau,cham_cuoi,tong,tong_cham,tong_chan,tong_le,tong_lon,tong_nho,is_cau_ngang,is_cau_cheo,cau_ngang_strength,cau_cheo_strength,in_any_cau,is_lo_roi_ung_vien,lo_roi_ty_le,days_since_roi_db,days_since_roi_nhieu,label
6-9-2025,7-9-2025,16,2,0,1,2,2,0.2857142857142857,0.2857142857142857,4.0,4,4,4,0,1,0,0,0,0,0,1,0,1,6,7,7,0,1,0,1,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,17,2,1,1,2,2,0.2857142857142857,0.2857142857142857,5.0,5,5,5,0,0,0,0,0,0,0,1,0,1,7,8,8,1,0,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,18,2,1,1,2,2,0.2857142857142857,0.2857142857142857,6.0,6,6,6,0,0,0,0,0,0,0,1,0,1,8,9,9,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,19,2,0,1,2,2,0.2857142857142857,0.2857142857142857,3.0,3,3,3,0,1,0,0,0,0,0,1,0,1,9,10,0,1,0,1,0,1,1,7,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,20,1,0,0,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,6,0,0,0,0,0,1,0,2,0,2,2,1,0,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,21,1,0,1,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,2,0,0,0,0,0,1,0,2,1,3,3,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,22,0,0,0,0,0,0.0,0.0,7.0,7,7,7,0,7,0,0,0,0,0,1,0,2,2,4,4,1,0,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,23,2,0,0,2,2,0.2857142857142857,0.2857142857142857,2.0,2,2,2,0,3,0,0,0,0,0,1,0,2,3,5,5,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,24,1,0,0,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,4,0,0,0,0,0,1,0,2,4,6,6,1,0,0,1,1,1,7,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,25,3,1,1,3,3,0.42857142857142855,0.42857142857142855,2.0,1,3,3,1,0,0,0,0,0,0,1,0,2,5,7,7,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,26,3,0,0,3,3,0.42857142857142855,0.42857142857142855,1.0,1,1,1,2,3,0,0,0,0,0,1,0,2,6,8,8,1,0,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,27,2,1,1,2,2,0.2857142857142857,0.2857142857142857,6.0,6,6,6,0,0,0,0,0,0,0,1,0,2,7,9,9,0,1,0,1,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,28,2,0,0,2,2,0.2857142857142857,0.2857142857142857,1.0,1,1,1,1,4,0,0,0,0,0,1,0,2,8,10,0,1,0,1,0,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,29,2,0,0,2,2,0.2857142857142857,0.2857142857142857,1.0,1,1,1,1,3,0,0,0,0,0,1,0,2,9,11,1,0,1,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,30,3,0,1,3,3,0.42857142857142855,0.42857142857142855,2.5,2,3,2,0,1,0,0,0,0,0,1,0,3,0,3,3,0,1,0,1,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,31,1,0,0,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,6,0,0,0,0,0,1,0,3,1,4,4,1,0,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,32,3,1,1,3,3,0.42857142857142855,0.42857142857142855,3.0,2,4,4,0,0,0,0,0,0,0,1,0,3,2,5,5,0,1,0,1,1,1,22,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,33,3,0,2,3,3,0.42857142857142855,0.42857142857142855,1.5,1,2,1,1,1,0,0,0,0,0,1,0,3,3,6,6,1,0,0,1,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,34,2,0,0,2,2,0.2857142857142857,0.2857142857142857,1.0,1,1,1,1,5,0,0,0,0,0,1,0,3,4,7,7,0,1,0,1,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,35,1,0,0,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,4,0,0,0,0,0,1,0,3,5,8,8,1,0,0,1,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,36,2,0,0,2,2,0.2857142857142857,0.2857142857142857,2.0,2,2,2,0,4,0,0,0,0,0,1,0,3,6,9,9,0,1,0,1,1,1,22,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,37,3,1,2,3,3,0.42857142857142855,0.42857142857142855,2.5,1,4,1,1,0,0,0,0,0,0,1,0,3,7,10,0,1,0,1,0,1,1,7,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,38,1,1,1,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,0,0,0,0,0,0,1,0,3,8,11,1,0,1,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,39,2,0,0,2,2,0.2857142857142857,0.2857142857142857,1.0,1,1,1,1,5,0,0,0,0,0,1,0,3,9,12,2,1,0,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,40,1,0,1,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,1,0,0,0,0,0,1,0,4,0,4,4,1,0,0,1,1,1,22,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,41,0,0,0,0,0,0.0,0.0,7.0,7,7,7,0,7,0,0,0,0,0,1,0,4,1,5,5,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,42,2,0,0,2,2,0.2857142857142857,0.2857142857142857,1.0,1,1,1,1,5,0,0,0,0,0,1,0,4,2,6,6,1,0,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,43,2,0,1,2,2,0.2857142857142857,0.2857142857142857,4.0,4,4,4,0,1,0,0,0,0,0,1,0,4,3,7,7,0,1,0,1,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,44,1,0,0,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,3,0,0,0,0,0,1,0,4,4,8,8,1,0,0,1,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,45,5,1,3,5,5,0.7142857142857143,0.7142857142857143,1.25,1,2,1,3,0,0,0,0,0,0,1,0,4,5,9,9,0,1,0,1,1,1,7,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,46,2,0,0,2,2,0.2857142857142857,0.2857142857142857,2.0,2,2,2,0,4,0,0,0,0,0,1,0,4,6,10,0,1,0,1,0,1,1,22,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,47,1,1,1,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,0,0,0,0,0,0,1,0,4,7,11,1,0,1,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,48,0,0,0,0,0,0.0,0.0,7.0,7,7,7,0,7,0,0,0,0,0,1,0,4,8,12,2,1,0,1,0,1,1,7,1,1,0,0.0,0,0,1
6-9-2025,7-9-2025,49,2,0,1,2,2,0.2857142857142857,0.2857142857142857,4.0,4,4,4,0,2,0,0,0,0,0,1,0,4,9,13,3,0,1,1,0,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,50,1,0,1,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,2,0,0,0,0,0,1,0,5,0,5,5,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,51,4,0,2,4,4,0.5714285714285714,0.5714285714285714,1.3333333333333333,1,2,1,2,1,0,0,0,0,0,1,0,5,1,6,6,1,0,0,1,1,1,22,1,1,0,0.0,0,0,0
6-9-2025,7-9-2025,52,1,0,1,1,1,0.14285714285714285,0.14285714285714285,7.0,7,7,7,0,1,0,0,0,0,0,1,0,5,2,7,7,0,1,0,1,0,1,0,1,1,0,0.0,0,0,0
