current_date,next_date,number,freq_7days,freq_prev_day,is_cau_ngang,is_cau_cheo,freq_3days,freq_14days,freq_30days,freq_ratio_7days,freq_ratio_30days,avg_gap,min_gap,max_gap,last_gap,consecutive_count,days_since_last,cau_ngang_strength,cau_cheo_strength,in_any_cau,is_lo_roi_ung_vien,lo_roi_ty_le,days_since_roi_db,days_since_roi_nhieu
4-10-2025,05-10-2025,53,2,0,0,1,1,4,10,0.2857142857142857,0.3448275862068966,2.6666666666666665,1,6,1,2,2,0,18,1,0,0.0,0,0
4-10-2025,05-10-2025,54,3,1,1,1,1,3,7,0.42857142857142855,0.2413793103448276,4.666666666666667,1,17,3,1,0,2,33,1,0,0.0,0,0
4-10-2025,05-10-2025,55,1,0,0,1,1,3,6,0.14285714285714285,0.20689655172413793,5.0,1,10,7,1,1,0,17,1,0,0.0,0,0
4-10-2025,05-10-2025,56,3,0,0,1,1,4,8,0.42857142857142855,0.27586206896551724,3.4285714285714284,1,7,2,1,1,0,21,1,0,0.0,0,0
4-10-2025,05-10-2025,57,1,0,0,1,1,3,6,0.14285714285714285,0.20689655172413793,4.8,1,8,8,1,1,0,29,1,0,0.0,0,0
4-10-2025,05-10-2025,58,2,1,0,1,1,4,8,0.2857142857142857,0.27586206896551724,3.857142857142857,1,7,5,1,0,0,19,1,0,0.0,0,0
4-10-2025,05-10-2025,59,1,0,0,1,1,3,5,0.14285714285714285,0.1724137931034483,5.25,2,8,5,0,2,0,11,1,0,0.0,0,0
4-10-2025,05-10-2025,60,3,0,0,1,1,4,7,0.42857142857142855,0.2413793103448276,3.6666666666666665,1,8,3,1,1,0,19,1,0,0.0,0,0
4-10-2025,05-10-2025,61,0,0,0,1,0,2,2,0.0,0.06896551724137931,1.0,1,1,1,1,11,0,11,1,0,0.0,0,0
4-10-2025,05-10-2025,62,2,0,0,1,0,4,9,0.2857142857142857,0.3103448275862069,2.875,1,8,1,4,3,0,9,1,0,0.0,0,0
4-10-2025,05-10-2025,63,3,1,0,1,1,3,6,0.42857142857142855,0.20689655172413793,4.8,1,11,4,2,0,0,17,1,0,0.0,0,0
4-10-2025,05-10-2025,64,0,0,0,1,0,1,4,0.0,0.13793103448275862,6.0,2,10,6,0,8,0,19,1,0,0.0,0,0
4-10-2025,05-10-2025,65,2,1,0,1,2,5,11,0.2857142857142857,0.3793103448275862,2.7,1,8,1,5,0,0,14,1,0,0.0,0,0
4-10-2025,05-10-2025,66,1,1,0,1,1,3,5,0.14285714285714285,0.1724137931034483,6.75,1,13,9,1,0,0,14,1,0,0.0,0,0
4-10-2025,05-10-2025,67,3,0,0,1,2,5,7,0.42857142857142855,0.2413793103448276,4.166666666666667,1,10,1,1,1,0,14,1,0,0.0,0,0
4-10-2025,05-10-2025,68,2,1,1,1,2,5,11,0.2857142857142857,0.3793103448275862,2.8,1,6,1,3,0,2,8,1,0,0.0,0,0
4-10-2025,05-10-2025,69,5,0,0,1,1,8,14,0.7142857142857143,0.4827586206896552,2.076923076923077,1,8,2,7,1,0,7,1,0,0.0,0,0
4-10-2025,05-10-2025,70,2,1,1,1,1,4,10,0.2857142857142857,0.3448275862068966,3.111111111111111,1,8,4,3,0,2,31,1,0,0.0,0,0
4-10-2025,05-10-2025,71,0,0,0,1,0,4,7,0.0,0.2413793103448276,2.8333333333333335,1,7,1,2,7,0,22,1,0,0.0,0,0
4-10-2025,05-10-2025,72,3,1,1,1,2,3,4,0.42857142857142855,0.13793103448275862,5.666666666666667,2,13,2,0,0,2,42,1,0,0.0,0,0
4-10-2025,05-10-2025,73,0,0,1,1,0,2,5,0.0,0.1724137931034483,4.0,2,6,3,0,10,2,26,1,0,0.0,0,0
4-10-2025,05-10-2025,74,3,0,0,1,0,5,9,0.42857142857142855,0.3103448275862069,2.625,1,6,1,3,3,0,44,1,0,0.0,0,0
4-10-2025,05-10-2025,75,2,1,0,1,1,5,8,0.2857142857142857,0.27586206896551724,3.857142857142857,1,8,5,1,0,0,26,1,0,0.0,0,0
4-10-2025,05-10-2025,76,2,0,0,1,2,3,5,0.2857142857142857,0.1724137931034483,4.5,1,11,1,1,1,0,28,1,0,0.0,0,0
